epoch,loop,f1,roc_auc,accuracy
0,train,0.33850726552179655,0.5038804491413473,0.33850726552179655
0,validation,0.4779764500654165,0.5,0.01078582434514638
1,train,0.3114266842800528,0.4835700132100396,0.3114266842800528
1,validation,0.5017557549746391,0.5057781201848999,0.0
2,train,0.2777410832232497,0.45830581241743723,0.2777410832232497
2,validation,0.5167424555601489,0.540446841294299,0.0015408320493066256
3,train,0.2727873183619551,0.45459048877146635,0.2727873183619551
3,validation,0.5101617586063873,0.5319722650231125,0.0
4,train,0.2701453104359313,0.45260898282694845,0.2701453104359313
4,validation,0.5060827250608273,0.521186440677966,0.0
-1,test,0.5172553796183516,0.5373651771956857,0.0
