,epoch,tag,true,pred_Conservative,pred_Neutral,pred_Liberal
0,0,train,Conservative,447,329,429
1,0,train,Neutral,148,118,152
2,0,train,Liberal,535,414,456
3,0,validation,Conservative,116,115,18
4,0,validation,Neutral,43,55,6
5,0,validation,Liberal,138,137,21
6,1,train,Conservative,442,199,564
7,1,train,Neutral,162,70,186
8,1,train,Liberal,523,246,636
9,1,validation,Conservative,184,32,33
10,1,validation,Neutral,77,20,7
11,1,validation,Liberal,223,42,31
12,2,train,Conservative,429,193,583
13,2,train,Neutral,142,62,214
14,2,train,Liberal,492,220,693
15,2,validation,Conservative,130,89,30
16,2,validation,Neutral,51,37,16
17,2,validation,Liberal,160,104,32
18,3,train,Conservative,376,206,623
19,3,train,Neutral,145,65,208
20,3,train,Liberal,461,211,733
21,3,validation,Conservative,181,39,29
22,3,validation,Neutral,79,15,10
23,3,validation,Liberal,218,43,35
24,4,train,Conservative,443,145,617
25,4,train,Neutral,135,51,232
26,4,train,Liberal,527,181,697
27,4,validation,Conservative,167,45,37
28,4,validation,Neutral,72,21,11
29,4,validation,Liberal,200,51,45
30,-1,test,Conservative,180,25,42
31,-1,test,Neutral,54,11,13
32,-1,test,Liberal,218,44,62
