model,lr,epoch,f1_macro
answerdotai/ModernBERT-base,1e-05,1,0.4377494950849541
answerdotai/ModernBERT-base,1e-05,2,0.4513430468827437
answerdotai/ModernBERT-base,1e-05,3,0.5346349058294262
answerdotai/ModernBERT-base,1e-05,4,0.5837651857763589
answerdotai/ModernBERT-base,1e-05,5,0.577090915593829
answerdotai/ModernBERT-base,2e-05,1,0.4909676720624145
answerdotai/ModernBERT-base,2e-05,2,0.43075792780900385
answerdotai/ModernBERT-base,2e-05,3,0.5631017434296123
answerdotai/ModernBERT-base,2e-05,4,0.5735900133258808
answerdotai/ModernBERT-base,2e-05,5,0.5726703838976817
answerdotai/ModernBERT-base,5e-05,1,0.38987187073229457
answerdotai/ModernBERT-base,5e-05,2,0.5049925842747838
answerdotai/ModernBERT-base,5e-05,3,0.5236933765971878
answerdotai/ModernBERT-base,5e-05,4,0.5215596863741135
answerdotai/ModernBERT-base,5e-05,5,0.5352256096936948
answerdotai/ModernBERT-base,5e-06,1,0.48961723775283095
answerdotai/ModernBERT-base,5e-06,2,0.4492418300653595
answerdotai/ModernBERT-base,5e-06,3,0.4961741532972992
answerdotai/ModernBERT-base,5e-06,4,0.5460512402187377
answerdotai/ModernBERT-base,5e-06,5,0.5628521698910683
FacebookAI/roberta-base,1e-05,1,0.16666666666666666
FacebookAI/roberta-base,1e-05,2,0.451370081998044
FacebookAI/roberta-base,1e-05,3,0.5426591769994736
FacebookAI/roberta-base,1e-05,4,0.5834853482785496
FacebookAI/roberta-base,1e-05,5,0.5734381302790647
FacebookAI/roberta-base,2e-05,1,0.16666666666666666
FacebookAI/roberta-base,2e-05,2,0.451370081998044
FacebookAI/roberta-base,2e-05,3,0.5426591769994736
FacebookAI/roberta-base,2e-05,4,0.5834853482785496
FacebookAI/roberta-base,2e-05,5,0.5734381302790647
FacebookAI/roberta-base,5e-05,1,0.16666666666666666
FacebookAI/roberta-base,5e-05,2,0.451370081998044
FacebookAI/roberta-base,5e-05,3,0.5426591769994736
FacebookAI/roberta-base,5e-05,4,0.5834853482785496
FacebookAI/roberta-base,5e-05,5,0.5734381302790647
FacebookAI/roberta-base,5e-06,1,0.3647938882699348
FacebookAI/roberta-base,5e-06,2,0.4946132806621804
FacebookAI/roberta-base,5e-06,3,0.6072121851782869
FacebookAI/roberta-base,5e-06,4,0.5848976368385882
FacebookAI/roberta-base,5e-06,5,0.5497850791968438
google-bert/bert-base-uncased,1e-05,1,0.2688081149619611
google-bert/bert-base-uncased,1e-05,2,0.3810029092937988
google-bert/bert-base-uncased,1e-05,3,0.4828617437313089
google-bert/bert-base-uncased,1e-05,4,0.5132380952380953
google-bert/bert-base-uncased,1e-05,5,0.5437574406646571
google-bert/bert-base-uncased,2e-05,1,0.2688081149619611
google-bert/bert-base-uncased,2e-05,2,0.3810029092937988
google-bert/bert-base-uncased,2e-05,3,0.4828617437313089
google-bert/bert-base-uncased,2e-05,4,0.5132380952380953
google-bert/bert-base-uncased,2e-05,5,0.5437574406646571
google-bert/bert-base-uncased,5e-05,1,0.2688081149619611
google-bert/bert-base-uncased,5e-05,2,0.3810029092937988
google-bert/bert-base-uncased,5e-05,3,0.4828617437313089
google-bert/bert-base-uncased,5e-05,4,0.5132380952380953
google-bert/bert-base-uncased,5e-05,5,0.5437574406646571
google-bert/bert-base-uncased,5e-06,1,0.3424347253109299
google-bert/bert-base-uncased,5e-06,2,0.3947457813883326
google-bert/bert-base-uncased,5e-06,3,0.4684644958328084
google-bert/bert-base-uncased,5e-06,4,0.49930250686527344
google-bert/bert-base-uncased,5e-06,5,0.4786651114784637
